"BehaviorSpace results (NetLogo 6.3.0)"
"Env_Aw_English.nlogo"
"experiment-High"
"11/13/2023 20:12:00:741 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","sociability_range_type","recyc_perc_g3","sociability_max","humanos_grupo1","humanos_grupo2","learning_rate","humanos_grupo3","show_eco_level?","desplazamiento_max","selected_campaign","desv_est_res","media_res","media_campaign_strength","recyc_perc_g1","change_sociability_behavior?","recyc_perc_g2","campaign_size","media_campaign_frequency","[step]","eco_level_pop"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","0","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","1","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","2","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","3","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","4","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","5","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","6","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","7","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","8","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","9","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","10","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","11","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","12","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","13","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","14","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","15","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","16","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","17","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","18","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","19","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","20","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","21","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","22","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","23","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","24","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","25","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","26","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","27","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","28","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","29","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","30","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","31","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","32","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","33","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","34","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","35","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","36","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","37","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","38","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","39","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","40","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","41","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","42","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","43","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","44","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","45","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","46","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","47","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","48","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","49","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","50","0"
