"BehaviorSpace results (NetLogo 6.3.0)"
"Env_Aw_English.nlogo"
"experiment-main-1.0-High_by_sean"
"11/23/2023 13:22:02:777 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","humanos_grupo1","humanos_grupo2","humanos_grupo3","recyc_perc_g1","recyc_perc_g2","recyc_perc_g3","learning_rate","sociability_range_type","sociability_max","show_eco_level?","desplazamiento_max","change_sociability_behavior?","media_res","desv_est_res","media_campaign_frequency","media_campaign_strength","selected_campaign","[step]","eco_level_pop"
"9","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"5","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"7","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"6","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"10","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"8","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"3","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"4","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"1","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"2","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","0","0"
"9","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.281399999999998"
"3","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.158389999999998"
"8","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.240579999999998"
"3","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","2","2.1684399999999906"
"9","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","2","2.290519999999994"
"7","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.2535099999999977"
"5","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.2125399999999957"
"6","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.2695500000000015"
"10","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.291239999999997"
"1","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.2592099999999995"
"2","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.2466399999999984"
"4","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","1","2.1849099999999955"
"3","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","3","2.177229999999991"
"9","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","3","2.2994599999999887"
"2","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","2","2.2553099999999957"
"3","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","4","2.1869199999999855"
"9","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","4","2.3085499999999906"
"8","750","200","50","20","30","50","3","Von Neumann","0.4","true","0.4","false","0.95","0.3","31","1","High","2","2.249279999999994"
