"BehaviorSpace results (NetLogo 6.3.0)"
"Env_Aw_English.nlogo"
"experiment4.4-7days-High_by_sean"
"11/17/2023 16:52:46:374 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","humanos_grupo1","humanos_grupo2","humanos_grupo3","recyc_perc_g1","recyc_perc_g2","recyc_perc_g3","learning_rate","sociability_range_type","sociability_max","show_eco_level?","desplazamiento_max","change_sociability_behavior?","media_res","desv_est_res","media_campaign_frequency","media_campaign_strength","selected_campaign","[step]","eco_level_pop"
"2","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"7","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"9","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"3","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"5","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"4","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"8","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"10","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"6","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"1","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","0","0"
"2","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.3122310000000903"
"9","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.3171380000000843"
"1","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.323328000000079"
"2","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","2","2.404658000000077"
"7","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.2996580000000737"
"1","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","2","2.4150440000000675"
"9","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","2","2.409580000000085"
"2","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","3","2.4966980000000496"
"8","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.3135230000000817"
"10","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.310728000000083"
"1","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","3","2.507090000000046"
"4","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.3140500000000874"
"7","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","2","2.392079000000077"
"9","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","3","2.5023700000000506"
"3","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.303382000000089"
"2","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","4","2.589194000000013"
"8","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","2","2.405194000000061"
"1","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","4","2.6002820000000026"
"10","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","2","2.4028490000000917"
"2","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","5","2.681098999999973"
"7","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","3","2.4842660000000536"
"4","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","2","2.405952000000071"
"6","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","1","2.3152140000000747"
"9","7500","2000","500","20","30","50","3","Von Neumann","0.04","true","0.04","false","0.95","0.3","7","0.15","High","4","2.5957900000000076"
